172;434_1966_65X50_Chaise_PC;1966_65x50Chaise434.jpeg;434;1966;65X50;Chaise;paul;box;
173;;1966_65x50Coulet3_435.jpeg;435;1966;65X50;Coulet;;;
174;436_66_65X50_Coulet_PC;1966_65x50Coulet4_436.jpeg;436;1966;65X50;Coulet;paul;;Meme toile437 + Numero de titre
175;437_1966_65x50Coulet_PC;1966_65x50Coulet437.jpeg;437;1966;65X50;Coulet;paul;;Meme toile436 + Numero de titre
176;;1966_65x50Luberon6_452.jpeg;452;1966;65X50;Luberon;;;
177;;1966_65x50Nu458.jpeg;458;1966;65X50;Nu;;;
178;;1966_65x50Pinsenete462_coll_S_Kaminka.jpeg;462;1966;65X50;Pinsenete;;;
179;515_1966_55x38Coulet_PC;1966_55x38Coulet_515.jpeg;515;1966;55X38;Coulet;paul;;Numero de titre
180;;1966_132x92VlgMorvan556.jpeg;556;1966;132X92;Vlg Morvan;;;
181;;1966_55x38Amandiers596coll_A_Chabas.jpeg;596;1966;55X38;Amandiers;;;
182;625_1966_65X50_Montresor_PC;1966_65x50Montresor625.jpeg;625;1966;65X50;Montresor;paul;box;
183;;1968_100x73Collin15_092as.jpeg;92;1968;100X73;Collin;;;
184;;1968_65x50Bouquet098as.jpeg;98;1968;65X50;Bouquet;;;
185;;1969_100x73Collin17_091as.jpeg;91;1969;100X73;Colline;;;
186;;1969_100x73Collin16_128.jpeg;128;1969;100X73;Colline;;;
187;;1969_100x73Colline9_484coll_sam.jpeg;484;1969;100X73;Colline;;;
188;;1969_100x73Colline10_485.jpeg;485;1969;100X73;Colline;;;
189;;1969_100x73Colline22_487.jpeg;487;1969;100X73;Colline;;;
190;;1969_100x73Luberon7_496.jpeg;496;1969;100X73;Luberon;;;
191;538_1969_130X90_Luberon_15;1969_130x90Lubron15_538.jpeg;538;1969;130X90;Luberon;paul;box;
192;;1969_100x73_luberon_X_709_cliche_paul.jpeg;709;1969;100X73;Luberon;;;
193;;1969_100x73Collin21_090_bis_as.jpeg;90 Bis;1969;100X73;Colline;;;
194;;1969_100x73Collin21_090as-2.jpeg;90as;1969;100X73;Colline;;;
195;039_1970_100X100_Paysage_Coll-S-Kaminka;1970_100x100Paysage039as.jpeg;39;1970;100X100;Paysage;sam;;
196;140_1970_100x50Luberon13_PC;1970_100x50Luberon13_140.jpeg;140;1970;100X50;Luberon;paul;;
197;;1970_100x73Luberon8_497.jpeg;497;1970;100X73;Luberon;;;
198;;1970_100x73Mousses_500.jpeg;500;1970;100X73;Mousses;;;
199;;1970_196x115_Colline24_545coll_R_Lalauze.jpeg;545;1970;196X115;Colline;;;
200;551_1970_195X115_Luberon_2_PC;1970_195x115_Luberon2_551.jpeg;551;1970;195X115;Luberon;;;
201;552_1970_195X115_Luberon_3_PC;1970_195x115_Luberon3_552.jpeg;552;1970;195X115;Luberon;;;
202;553_1970_195X115_Luberon_4_PC;1970_195x115_Luberon4_553.jpeg;553;1970;195X115;Luberon;;;
203;554_1970_200X120_Luberon_5_PC;1970_200x120_Luberon5_554.jpeg;554;1970;200X120;Luberon;;;
204;555_1070_195X115_Luberon_6_PC;1970_195x115_Luberon6_555.jpeg;555;1970;195X115;Luberon;;;
205;1070_1970_60X28_Vegetal_Coll-P-Coupille;;1070;1970;60X28;Vegetal;paul;chateau;
206;1071_ 1970_35X22_Oiseau_Coll-P-Coupille;;1071;1970;35X22;Oiseau ;paul;chateau;
207;;1970_55x38JeuneFille_346.jpeg;;1970;55X38;Jeune fille;;;
208;245_1974_125X90_Visage_1;1971_130x90Visage245.jpeg;245;1971;130X90;Visage;paul;box;
209;;1972_100x65Colline27_089as.jpeg;89;1972;100X65;Colline;;;
210;;1972_100x65Colline0_093as.jpeg;93;1972;100X65;Colline;;;
211;;1972_100x65Colline3_116.jpeg;116;1972;100X65;Colline;;;
212;;1972_100x65Colline6_119.jpeg;119;1972;100X65;Colline;;;
213;;1972_100x73Collin8_120.jpeg;120;1972;100X73;Colline;;;
214;121_1972_100X73_Colline_9_Coll_S_Kaminka(Box);1972_100x73Collin9_121col_S_Kaminka.jpeg;121;1972;100X73;Colline;;;
215;;1972_100x73Collin10_122.jpeg;122;1972;100X73;Colline;;;
216;;1972_100x73Collin13_124.jpeg;124;1972;100X73;Colline;;;
217;;1972_100x73Collin14_125.jpeg;125;1972;100X73;Colline;;;
218;;1972_100x73Collin15_127.jpeg;127;1972;100X73;Colline;;;
219;;1972_100x73Collin23_132.jpeg;132;1972;100X73;Colline;;;
220;;1972_100x73Collin28_135.jpeg;135;1972;100X73;Colline;;;
221;;1972_100x81Luberon_141coll_Abric.jpeg;141;1972;100X81;Luberon;;;
222;235_1985_108X78_Paysage_1;1972_108x78Paysage1_235.jpeg;235;1972;108X78;Paysage;paul;box;
223;236_1985_108X78_Paysage_2;1972_117x74Paysage2_236.jpeg;236;1972;117X74;Paysage;paul;box ;
224;237_1985_108X78_Paysage_3;1972_117x74Paysage3_237.jpeg;237;1972;117X74;Paysage;paul;box;
225;450_1972_65X50_Luberon_2_PC;1972_65x50Luberon2_450.jpeg;450;1972;65X50;Luberon;paul;box;
226;451_1972_65X50_Luberon_4_PC;1972_65x50Luberon4_451.jpeg;451;1972;65X50;Luberon;paul;box;
227;;1972_65x50Luberon13_453.jpeg;453;1972;65X50;Luberon;;;
228;;1972_100x73Colline7_483.jpeg;483;1972;100X73;Colline;;;
229;498_1972_100X50_Luberon_12_PC;1972_100x50Luberon12_498.jpeg;498;1972;100X50;Luberon;paul;;
230;499_1972_81X54_Luberon14_PC;1972_81x54Luberon14_499.jpeg;499;1972;81X54;Luberon;paul;box;
231;;1972_65x50Autoportrait627as.jpeg;627;1972;65X50;Autoportrait;;;
232;;1973_100x65Colline4_117.jpeg;117;1973;100X65;Colline;;;
233;;1973_100x65Colline5_118.jpeg;118;1973;100X65;Colline;;;
234;;1973_100x73Collin11_123.jpeg;123;1973;100X73;Colline;;;
235;;1973_100x73Collin15b_126.jpeg;126;1973;100X73;Colline;;;
236;;1973_100x65Colline17_129.jpeg;129;1973;100X65;Colline;;;
237;;1973_100x73Collin18_130.jpeg;130;1973;100X73;Colline;;;
238;;1973_100x73Collin19_131.jpeg;131;1973;100X73;Colline;;;
239;;1973_100x65Colline25_133.jpeg;133;1973;100X65;Colline;;;
240;;1973_100x73Collin25_133.jpeg;133;1973;100X73;Colline;;;
241;;1973_100x73Collin29_136.jpeg;136;1973;100X73;Colline;;;
242;;1973_100x65LeVallon139.jpeg;139;1973;100X65;Le Vallon;;;
243;486_1973_100x73Colline12_Ch;1973_100x73Colline12_486.jpeg;486;1973;100X73;Colline;paul;chateau;
244;527_1973_110x162Colline25_PC;1973_110x162Colline25_527.jpeg;527;1973;110X162;Colline;paul;;
